"","Con_heridos","Con_muertos","Solo_danos","kmm.cluster"
"Aguas Frias",65,0,22,2
"Aldea Pablo VI",66,1,20,2
"Alejandria",197,1,427,2
"Alejandro Echavarria",720,4,308,1
"Alfonso Lopez",818,4,346,1
"Altamira",476,0,300,2
"Altavista",221,3,145,2
"Altavista Sector Central",199,2,48,2
"Altos del Poblado",167,1,156,2
"Andalucia",184,2,77,2
"Antonio Narino",205,1,61,2
"Aranjuez",312,2,122,2
"Area De Expansion Altavista",28,0,6,2
"Area de Expansion Altos de Calasanz",61,1,58,2
"Area De Expansion Belen Rincon",2,0,9,2
"Area de Expansion Pajarito",783,9,234,1
"Area de Expansion San Antonio de Prado",59,2,21,2
"Asomadera No. 1",389,5,460,1
"Asomadera No. 2",225,0,390,2
"Asomadera No. 3",59,1,73,2
"Astorga",112,0,209,2
"Aures No. 2",576,0,157,2
"Aures No.1",453,1,122,2
"B. Cerro  El Volador",137,2,79,2
"Barrio Caicedo",669,5,380,1
"Barrio Colombia",553,5,718,1
"Barrio Colon",1778,18,2686,4
"Barrio Cristobal",93,1,74,2
"Barrio de Jesus",283,2,128,2
"Batallon Girardot",10,0,2,2
"Belalcazar",394,0,329,2
"Belen",1244,8,1715,3
"Belencito",132,1,48,2
"Bello Horizonte",214,2,102,2
"Berlin",699,6,324,1
"Bermejal-Los Alamos",184,2,70,2
"Betania",96,2,35,2
"Blanquizal",58,1,28,2
"Bolivariana",397,4,446,1
"Bombona No. 1",656,7,771,1
"Bombona No. 2",264,1,166,2
"Boqueron",0,0,1,2
"Bosques de San Pablo",180,0,174,2
"Boston",1453,11,1289,3
"Boyaca",476,1,260,2
"Brasilia",452,2,176,2
"Buenos Aires",729,0,460,1
"Buga Patio Bonito",32,0,18,2
"Cabecera San Antonio de Prado",2128,41,1561,4
"Cabecera Urbana San Cristobal",478,6,205,1
"Calasanz",433,2,443,1
"Calasanz Parte Alta",281,1,238,2
"Calle Nueva",755,7,1268,3
"Campo Alegre",461,3,192,1
"Campo Amor",2428,27,2711,4
"Campo Valdes No. 1",1118,8,372,1
"Campo Valdes No. 2",917,1,199,1
"Caribe",2495,24,2345,4
"Carlos E. Restrepo",1548,11,1805,3
"Carpinelo",122,0,30,2
"Castilla",2178,10,717,3
"Castropol",618,3,770,1
"Cataluna",170,0,143,2
"Cementerio Universal",119,0,129,2
"Centro Administrativo",186,2,172,2
"Cerro Nutibara",626,8,554,1
"Corazon de Jesus",1083,26,1620,4
"Cordoba",422,1,206,2
"Cristo Rey",1195,18,1132,3
"Cuarta Brigada",719,6,665,1
"Cucaracho",780,4,294,1
"Diego Echavarria",247,3,235,2
"Doce de Octubre No.1",459,3,126,1
"Doce de Octubre No.2",551,4,155,1
"Eduardo Santos",37,0,15,2
"El Astillero",4,0,0,2
"El Castillo",166,1,298,2
"El Chagualo",1118,22,1050,3
"El Compromiso",118,0,42,2
"El Corazon",102,2,37,2
"El Corazon El Morro",11,0,4,2
"El Danubio",282,4,146,2
"El Diamante",832,1,295,1
"El Diamante No. 2",109,0,229,2
"El Estadio",638,3,507,1
"El Llano SE",0,0,1,2
"El Nogal-Los Almendros",212,4,259,2
"El Pesebre",170,2,84,2
"El Picacho",20,0,6,2
"El Pinal",409,0,206,2
"El Plan",2,0,0,2
"El Poblado",546,4,1143,1
"El Pomar",322,1,102,2
"El Progreso",1007,2,984,1
"El Progreso No.2",105,1,45,2
"El Raizal",460,1,158,2
"El Rincon",652,1,413,1
"El Rodeo",128,2,78,2
"El Salado",148,0,54,2
"El Salvador",437,0,255,2
"El Socorro",60,2,18,2
"El Tesoro",300,0,468,2
"El Triunfo",53,0,13,2
"El Uvito",1,0,0,2
"El Velodromo",428,2,381,1
"El Vergel",5,0,1,2
"Enciso",533,2,194,1
"Estacion Villa",819,12,824,3
"Facultad de Minas U. Nacional",787,1,596,1
"Facultad Veterinaria y Zootecnia U.de.A.",96,0,66,2
"Fatima",674,3,589,1
"Ferrini",168,1,149,2
"Florencia",269,1,135,2
"Florida Nueva",511,3,477,1
"Francisco Antonio Zea",420,0,200,2
"Fuente Clara",139,2,26,2
"Gerona",381,0,170,2
"Girardot",704,3,289,1
"Granada",260,2,276,2
"Granizal",229,3,142,2
"Guayabal",1250,12,1349,3
"Guayaquil",1437,27,2080,4
"Hector Abad Gomez",752,12,491,1
"Hospital San Vicente de Paul",78,0,76,2
"Jardin Botanico",116,2,109,2
"Jesus Nazareno",1196,22,976,3
"Juan Pablo II",38,0,7,2
"Juan XXIII La Quiebra",123,1,53,2
"Kennedy",730,1,304,1
"La Aguacatala",968,9,1389,3
"La Alpujarra",1037,12,1679,3
"La America",755,9,686,1
"La Avanzada",162,0,50,2
"La Candelaria",2457,25,3434,4
"La Castellana",417,3,443,1
"La Colina",385,5,306,1
"La Cruz",101,1,36,2
"La Esperanza",621,3,159,1
"La Esperanza No. 2",155,1,37,2
"La Floresta",502,4,342,1
"La Florida",354,2,697,1
"La Francia",243,0,124,2
"La Frisola",2,0,0,2
"La Frontera",165,1,82,2
"La Gloria",630,1,478,1
"La Hondonada",125,0,104,2
"La Isla",166,4,57,2
"La Ladera",49,0,29,2
"La Libertad",278,0,146,2
"La Loma",25,0,12,2
"La Loma Oriental",50,0,19,2
"La Mansion",248,0,127,2
"La Milagrosa",376,4,219,1
"La mota",354,2,248,2
"La Oculta",27,1,10,2
"La Palma",352,3,292,2
"La Pilarica",412,2,322,1
"La Pinuela",312,1,106,2
"La Pradera",316,2,110,2
"La Rosa",224,2,70,2
"La Salle",483,3,157,1
"La Sierra",18,0,2,2
"La Verde",44,0,72,2
"Lalinde",68,0,111,2
"Las Acacias",719,3,930,1
"Las Brisas",720,8,444,1
"Las Esmeraldas",222,3,66,2
"Las Estancias",266,1,72,2
"Las Granjas",939,5,311,1
"Las Independencias",71,0,11,2
"Las Lomas No.1",246,1,407,2
"Las Lomas No.2",164,0,232,2
"Las Mercedes",226,0,158,2
"Las Palmas",406,7,305,1
"Las Playas",377,2,257,2
"Las Violetas",248,5,145,2
"Laureles",803,8,925,1
"Llanaditas",66,0,22,2
"Loma de los Bernal",232,1,251,2
"Lopez de Mesa",763,2,250,1
"Lorena",490,7,507,1
"Loreto",583,3,290,1
"Los Alcazares",325,5,195,1
"Los Alpes",315,1,200,2
"Los Angeles",813,6,514,1
"Los Balsos No.1",156,4,309,2
"Los Balsos No.2",233,0,686,2
"Los Cerros El Vergel",161,1,84,2
"Los Colores",1692,12,1087,3
"Los Conquistadores",1821,21,2260,4
"Los Mangos",442,4,172,1
"Los Naranjos",233,1,504,2
"Los Pinos",577,8,557,1
"Manila",774,5,1441,3
"Manrique Central No. 1",849,7,443,1
"Manrique Central No. 2",606,3,220,1
"Manrique Oriental",748,4,294,1
"Maria Cano Carambolas",56,0,19,2
"Media Luna",5,0,2,2
"Metropolitano",31,0,11,2
"Mirador del Doce",39,1,4,2
"Miraflores",458,1,249,2
"Miranda",706,6,467,1
"Miravalle",51,0,50,2
"Monteclaro",96,0,29,2
"Moravia",827,12,512,1
"Moscu No. 1",268,0,129,2
"Moscu No. 2",311,3,99,2
"Naranjal",1435,14,1802,3
"Nueva Villa de Aburra",112,1,112,2
"Nueva Villa de la Iguana",331,2,227,2
"Nuevos Conquistadores",73,1,23,2
"Ocho de Marzo",47,1,18,2
"Olaya Herrera",177,4,66,2
"Oleoducto",694,15,423,1
"Oriente",89,2,20,2
"Pablo VI",76,0,33,2
"Pajarito",137,0,59,2
"Palenque",196,1,135,2
"Palermo",362,4,183,2
"Palmitas Sector Central",2,0,0,2
"Parque Juan Pablo II",587,10,418,1
"Parque Norte",108,0,106,2
"Patio Bonito",476,6,712,1
"Pedregal",824,4,214,1
"Pedregal Alto",47,0,13,2
"Pedregal Bajo",58,6,12,2
"Perpetuo Socorro",2370,22,2674,4
"Picachito",84,0,19,2
"Picacho",697,1,198,1
"Piedras Blancas",94,2,27,2
"Piedras Blancas Represa",2,0,2,2
"Playon de Los Comuneros",257,3,135,2
"Plaza de Ferias",85,2,53,2
"Popular",384,1,154,2
"Potrerito",3,0,0,2
"Prado",1380,14,993,3
"Robledo",888,7,347,1
"Rosales",936,9,814,3
"San Antonio",32,0,4,2
"San Benito",1506,27,1929,4
"San Bernardo",760,10,504,1
"San Diego",1289,14,1965,3
"San German",554,5,483,1
"San Isidro",855,1,336,1
"San Javier No.1",549,4,251,1
"San Javier No.2",194,1,118,2
"San Joaquin",300,6,352,1
"San Jose de la Montana",2,0,1,2
"San Jose la Cima No. 1",34,1,6,2
"San Jose la Cima No.2",21,0,1,2
"San Lucas",75,1,250,2
"San Martin de Porres",546,1,185,1
"San Miguel",683,2,292,1
"San Pablo",306,0,88,2
"San Pedro",576,6,461,1
"Santa Cruz",287,2,97,2
"Santa Elena Sector Central",4,0,4,2
"Santa Fe",2180,24,1790,4
"Santa Ines",467,1,183,2
"Santa Lucia",184,1,110,2
"Santa Margarita",289,2,94,2
"Santa Maria de los Angeles",523,8,748,1
"Santa Monica",278,2,149,2
"Santa Rosa de Lima",20,0,8,2
"Santa Teresita",187,0,166,2
"Santander",547,4,147,1
"Santo Domingo Savio No. 1",450,2,122,2
"Santo Domingo Savio No. 2",120,0,34,2
"Sevilla",825,7,687,1
"Simon Bolivar",292,2,252,2
"SUBURB El Plan",46,0,8,2
"Suburbano Aguas Frias",4,0,1,2
"Suburbano Altavista",59,1,17,2
"Suburbano Barro Blanco",0,1,0,2
"Suburbano El Llano",17,1,19,2
"Suburbano el Tesoro",11,0,10,2
"Suburbano La Cuchilla",0,0,2,2
"Suburbano La Loma",187,2,92,2
"Suburbano La Palma-El Patio",18,1,18,2
"Suburbano Mirador del Poblado",52,0,33,2
"Suburbano Palmitas",3,1,6,2
"Suburbano Pedregal alto",26,0,2,2
"Suburbano Piedra Gorda",0,0,1,2
"Suburbano Potrerito",4,0,0,2
"Suburbano Travesias",68,0,23,2
"Sucre",537,6,230,1
"Suramericana",837,8,1037,3
"Tejelo",639,1,215,1
"Tenche",545,5,571,1
"Terminal de Transporte",1475,17,1624,3
"Toscana",719,17,540,3
"Trece de Noviembre",56,1,51,2
"Tricentenario",629,6,476,1
"Trinidad",733,7,532,1
"U.D. Atanasio Girardot",175,0,144,2
"U.P.B.",51,1,90,2
"Universidad de Antioquia",609,8,455,1
"Universidad Nacional",1038,13,954,3
"Veinte de Julio",310,8,86,1
"Versalles No. 1",441,2,179,2
"Versalles No. 2",56,0,32,2
"Villa Carlota",1060,13,1552,3
"Villa del Socorro",338,1,168,2
"Villa Flora",646,0,342,1
"Villa Guadalupe",349,3,111,2
"Villa Hermosa",502,2,174,1
"Villa Liliam",121,2,34,2
"Villa Niza",148,0,77,2
"Villa Nueva",1762,18,1943,4
"Villa Turbay",43,0,9,2
"Villatina",433,0,151,2
"Volcana Guayabal",3,0,0,2
"Yarumalito",1,0,0,2
"Yolombo",22,0,14,2
